PRIMARY_KEY,DATE,TIME,CONFIDENCE,IDENTITY,CLASSIFIED
"132638","2021-10-22","13:22:46","0.982135","790","0",\N
"48132","2021-09-11","18:00:55","0.954912","941","0",\N
"124799","2021-10-15","15:04:11","0.904674","666","0",\N
"46163","2021-09-10","11:49:59","0.968629","892","0",\N
"131927","2021-10-22","12:14:29","0.939151","539","0",\N
"34455","2021-08-30","09:10:02","0.997144","819","0",\N
"108024","2021-10-11","17:41:57","0.965309","1476","0",\N
"145521","2021-10-25","15:20:45","0.953301","4345","0",\N
"25702","2021-08-28","18:47:56","0.963328","5","0",\N
"30557","2021-08-29","16:21:50","0.922686","1184","0",\N
"58411","2021-09-21","08:54:14","0.954265","233","0",\N
"1252","2021-08-23","18:37:44","0.966838","466","0",\N
"126267","2021-10-15","16:04:51","0.989438","971","0",\N
"38486","2021-09-01","10:39:02","0.980491","1036","0",\N
"94628","2021-10-05","16:24:31","0.987907","1634","0",\N
"144559","2021-10-25","11:35:35","0.959319","3293","0",\N
"26479","2021-08-29","12:17:10","0.916079","190","0",\N
"157406","2021-12-05","15:53:44","0.936671","2549","0",\N
"58219","2021-09-21","08:45:15","0.919819","233","0",\N
"45515","2021-09-10","10:10:05","0.944548","410","0",\N
"17570","2021-08-26","07:53:21","0.993145","98","0",\N
"54629","2021-09-19","17:26:39","0.992629","1433","0",\N
"38979","2021-09-01","10:43:14","0.998716","1036","0",\N
"129758","2021-10-19","17:11:15","0.926315","218","0",\N
"37829","2021-09-01","10:28:42","0.983267","920","0",\N
"148784","2021-10-29","09:44:30","0.998113","505","0",\N
"128917","2021-10-19","11:53:25","0.971789","657","0",\N
"46068","2021-09-10","11:09:24","0.951332","761","0",\N
"151478","2021-11-02","13:38:03","0.971456","741","0",\N
"32804","2021-08-30","07:39:59","0.963074","70","0",\N
"152408","2021-11-02","15:45:42","0.955128","1284","0",\N
"58297","2021-09-21","08:48:52","0.968866","233","0",\N
"91241","2021-10-05","12:57:19","0.970405","862","0",\N
"135451","2021-10-24","16:25:56","0.979487","735","0",\N
"28790","2021-08-29","14:05:14","0.929146","732","0",\N
"79636","2021-09-23","08:33:10","0.991351","308","0",\N
"105716","2021-10-11","15:32:05","0.985323","201","0",\N
"10960","2021-08-24","09:53:15","0.97141","1392","0",\N
"23134","2021-08-26","10:05:32","0.917455","1567","0",\N
"41743","2021-09-01","13:34:09","0.992327","2373","0",\N
