PRIMARY_KEY,DATE,TIME,CONFIDENCE,IDENTITY,CLASSIFIED,SPECIES
"5080","2021-08-24","08:27:34","0.99282","257","1","Ruby-throated Hummingbird"
"8583","2021-08-24","09:15:57","0.949844","1013","1","Mourning Dove"
"18136","2021-08-26","08:04:38","0.988413","133","1","House Sparrow (female)"
"13218","2021-08-24","10:25:28","0.966558","1667","1","Mourning Dove"
"22524","2021-08-26","09:52:55","0.936936","1408","1","House Sparrow (male)"
"10107","2021-08-24","09:32:15","0.91838","1194","1","White-breasted Nuthatch"
"30484","2021-08-29","16:19:25","0.902024","1138","1","House Sparrow (female)"
"1623","2021-08-23","18:46:26","0.984368","600","1","Mourning Dove"
"13144","2021-08-24","10:24:13","0.938449","1772","1","House Sparrow (female)"
"26352","2021-08-29","12:14:57","0.938245","179","1","Mourning Dove"
"2284","2021-08-24","07:42:38","0.991531","94","1","House Sparrow (female)"
"9048","2021-08-24","09:19:53","0.963672","1013","1","House Sparrow (female)"
"14109","2021-08-24","11:13:11","0.972121","2120","1","Ruby-throated Hummingbird"
"2294","2021-08-24","07:42:41","0.991302","94","1","Mourning Dove"
"37807","2021-09-01","10:28:23","0.948186","927","1","Mourning Dove"
"24534","2021-08-26","13:37:17","0.993428","3731","1","Indigo Bunting"
"26162","2021-08-29","12:06:54","0.969213","119","1","Mourning Dove"
"18794","2021-08-26","08:18:13","0.925354","285","1","Ruby-throated Hummingbird"
"31887","2021-08-29","18:25:04","0.906851","1990","1","White-breasted Nuthatch"
"17672","2021-08-26","07:56:01","0.963327","111","1","Mourning Dove"
"6940","2021-08-24","08:57:35","0.941142","642","1","House Sparrow (female)"
"28333","2021-08-29","13:36:40","0.93478","639","1","House Sparrow (female)"
"16835","2021-08-25","18:12:11","0.9953","334","1","Mourning Dove"
"20741","2021-08-26","08:53:46","0.982364","595","1","Mourning Dove"
"11795","2021-08-24","10:03:54","0.909162","1478","1","White-breasted Nuthatch"
"36248","2021-08-30","17:22:00","0.992522","590","1","Mourning Dove"
"34833","2021-08-30","16:20:40","0.967422","30","1","House Sparrow (female)"
"7382","2021-08-24","09:04:14","0.947127","786","1","Cardinal-Female"
"31996","2021-08-29","18:37:43","0.963836","2028","1","Mourning Dove"
"566","2021-08-23","18:16:31","0.940432","221","1","House Sparrow (male)"
"4901","2021-08-24","08:25:50","0.943328","236","1","Mourning Dove"
"24948","2021-08-28","18:21:17","0.902817","92","1","House Sparrow (male)"
"17398","2021-08-26","07:50:50","0.991843","3","1","Mourning Dove"
"26036","2021-08-29","11:43:54","0.990195","55","1","Mourning Dove"
"36811","2021-09-01","09:13:11","0.966974","121","1","White-breasted Nuthatch"
"26797","2021-08-29","12:23:18","0.990625","260","1","Mourning Dove"
"1384","2021-08-23","18:41:23","0.996387","569","1","White-breasted Nuthatch"
"15036","2021-08-24","18:01:05","0.96148","329","1","House Sparrow (female)"
"319","2021-08-23","18:10:17","0.932763","24","1","House Sparrow (female)"
"26124","2021-08-29","11:45:02","0.9182","63","1","Common Grackle"
"27000","2021-08-29","12:59:36","0.961041","446","1","House Sparrow (female)"
"33762","2021-08-30","08:36:48","0.954148","467","1","White-breasted Nuthatch"
"33928","2021-08-30","08:41:16","0.942701","529","1","House Sparrow (female)"
"15777","2021-08-24","18:33:46","0.907272","669","1","House Sparrow (female)"
"7153","2021-08-24","09:00:48","0.93097","774","1","Mourning Dove"
"41","2021-08-23","18:02:40","0.952169","7","1","Mourning Dove"
"23633","2021-08-26","10:21:28","0.980857","1688","1","Red-Bellied Woodpecker"
"25439","2021-08-28","18:29:39","0.980489","135","1","Brown-headed Cowbird (female or juvenile)"
"17379","2021-08-26","07:50:35","0.997512","3","1","Eastern Bluebird"
"8965","2021-08-24","09:19:01","0.994467","1082","1","Ruby-throated Hummingbird"
"19907","2021-08-26","08:40:43","0.90686","598","1","House Sparrow (female)"
"13471","2021-08-24","10:28:08","0.975925","1870","1","Ruby-throated Hummingbird"
"14802","2021-08-24","17:57:59","0.945065","295","1","Mourning Dove"
"25358","2021-08-28","18:27:03","0.968207","123","1","Mourning Dove"
"11922","2021-08-24","10:05:38","0.973463","1553","1","Ruby-throated Hummingbird"
"17784","2021-08-26","07:57:32","0.947933","111","1","House Sparrow (female)"
"17312","2021-08-25","19:07:08","0.921538","23","1","House Sparrow (female)"
"34778","2021-08-30","09:42:01","0.952727","1157","1","Mourning Dove"
"25464","2021-08-28","18:30:00","0.903216","135","1","White-breasted Nuthatch"
"27917","2021-08-29","13:25:08","0.998791","625","1","Mourning Dove"
"9518","2021-08-24","09:27:47","0.992266","1181","1","Mourning Dove"
"9081","2021-08-24","09:20:20","0.956863","1013","1","European Starling (Nonbreeding Adult)"
"24583","2021-08-28","16:03:17","0.983554","299","1","House Sparrow (female)"
"27192","2021-08-29","13:08:29","0.977329","524","1","Mourning Dove"
"20132","2021-08-26","08:43:26","0.9803","595","1","House Sparrow (female)"
"35610","2021-08-30","16:36:50","0.990389","239","1","Mourning Dove"
"15252","2021-08-24","18:03:37","0.916266","329","1","House Sparrow (male)"
"21139","2021-08-26","09:01:16","0.971032","872","1","House Sparrow (female)"
"20863","2021-08-26","08:56:28","0.926599","850","1","House Sparrow (female)"
"15069","2021-08-24","18:01:17","0.961209","313","1","Mourning Dove"
"13017","2021-08-24","10:22:44","0.91336","1667","1","House Sparrow (male)"
"17800","2021-08-26","07:57:44","0.982041","107","1","House Sparrow (female)"
"3627","2021-08-24","08:07:28","0.908611","4","1","House Sparrow (female)"
"38002","2021-09-01","10:30:28","0.943257","935","1","House Sparrow (female)"
"7179","2021-08-24","09:01:21","0.910365","808","1","House Sparrow (female)"
"24112","2021-08-26","10:41:12","0.956669","1922","1","House Sparrow (female)"
"4647","2021-08-24","08:21:51","0.994724","171","1","White-breasted Nuthatch"
"7344","2021-08-24","09:03:59","0.985863","848","1","House Sparrow (female)"
"31375","2021-08-29","17:35:52","0.940123","1808","1","White-breasted Nuthatch"
"13089","2021-08-24","10:23:39","0.997692","1700","1","White-breasted Nuthatch"
"36164","2021-08-30","17:21:16","0.987612","609","1","Mourning Dove"
"5830","2021-08-24","08:38:14","0.990577","436","1","Brown-headed Cowbird (female or juvenile)"
"25592","2021-08-28","18:46:20","0.912119","5","1","House Sparrow (female)"
"28715","2021-08-29","14:04:07","0.985916","748","1","Ruby-throated Hummingbird"
"35557","2021-08-30","16:36:20","0.965272","217","1","House Sparrow (female)"
"29954","2021-08-29","15:00:45","0.940141","881","1","American Crow"
"34757","2021-08-30","09:41:42","0.993312","1178","1","Cardinal-Female"
"11736","2021-08-24","10:02:47","0.987482","1408","1","Eastern Bluebird"
"10863","2021-08-24","09:51:47","0.996323","1347","1","Mourning Dove"
"528","2021-08-23","18:15:10","0.960126","118","1","White-breasted Nuthatch"
"1101","2021-08-23","18:34:45","0.994818","427","1","Mourning Dove"
"27475","2021-08-29","13:11:47","0.994777","524","1","Mourning Dove"
"5637","2021-08-24","08:33:15","0.993821","294","1","House Sparrow (female)"
"27857","2021-08-29","13:24:39","0.927797","625","1","White-breasted Nuthatch"
"37292","2021-09-01","10:04:03","0.976189","657","1","Mourning Dove"
"21725","2021-08-26","09:17:40","0.954568","1209","1","Mourning Dove"
"25654","2021-08-28","18:47:21","0.985452","5","1","Mourning Dove"
"36906","2021-09-01","09:14:46","0.950878","144","1","Mourning Dove"
"1396","2021-08-23","18:41:39","0.994736","575","1","Ruby-throated Hummingbird"
"29464","2021-08-29","14:41:14","0.979557","815","1","House Sparrow (female)"
"6366","2021-08-24","08:52:01","0.978324","642","1","House Sparrow (female)"
"12825","2021-08-24","10:21:02","0.991833","1732","1","Blue Jay"
"28823","2021-08-29","14:06:44","0.920799","748","1","Carolina Chickadee"
"15371","2021-08-24","18:20:24","0.944778","519","1","House Sparrow (female)"
"37451","2021-09-01","10:06:22","0.971092","822","1","House Sparrow (female)"
"32463","2021-08-30","07:36:44","0.950257","79","1","Mourning Dove"
"23718","2021-08-26","10:24:28","0.902952","1820","1","House Sparrow (female)"
"28456","2021-08-29","13:46:59","0.991404","701","1","Mourning Dove"
"8575","2021-08-24","09:15:55","0.976436","781","1","White-breasted Nuthatch"
"38071","2021-09-01","10:31:06","0.950777","906","1","White-breasted Nuthatch"
"2126","2021-08-24","07:38:42","0.933581","30","1","House Sparrow (female)"
"35612","2021-08-30","16:36:51","0.988732","239","1","Mourning Dove"
"25664","2021-08-28","18:47:27","0.975807","5","1","House Wren"
"9885","2021-08-24","09:30:10","0.962352","1181","1","House Sparrow (female)"
"33121","2021-08-30","08:19:25","0.937222","281","1","Mourning Dove"
